Cluster ID	Gene ID|Swissprot Annotation	PFAM Annotations	NR Annotation	P value	Adjusted P Value	Average Log Fold Change	Percent Positive Cells in Cluster	Percent Positive Cells Outside of Cluster
i_zymogen_gland_cell	t25501aep|CEL3B_MOUSE	PF00089;PF13365	PREDICTED: chymotrypsin-like elastase family member 3B [Hydra vulgaris]	0	0	3.829649266	1	0.187
i_zymogen_gland_cell	t14102aep	NA	dickkopf-like protein Dlp-1 precursor [Hydra vulgaris] >gi|74101636|gb|AAZ99727.1| dickkopf-like protein Dlp-1 precursor [Hydra vulgaris]	0	0	3.797469448	0.608	0.032
i_zymogen_gland_cell	t5490aep	NA	PREDICTED: uncharacterized protein LOC100203959 [Hydra vulgaris]	0	0	3.779501261	0.563	0.042
i_zymogen_gland_cell	t28022aep	PF03067	PREDICTED: uncharacterized protein LOC100198884 [Hydra vulgaris]	0	0	3.776496239	0.724	0.042
i_zymogen_gland_cell	t28673aep|CHI3_CANAL	PF00704;PF01607	chitinase 2 [Hydractinia echinata]	0	0	3.723311162	0.995	0.063
i_zymogen_gland_cell	t37009aep	NA	Uncharacterized protein APZ42_013935 [Daphnia magna]	0	0	3.702451536	0.976	0.04
i_zymogen_gland_cell	t37247aep|NAS13_CAEEL	PF01400;PF00754;PF01549	PREDICTED: zinc metalloproteinase nas-15-like [Hydra vulgaris]	0	0	3.698377409	0.99	0.052
i_zymogen_gland_cell	t18356aep|CHIA_MOUSE	PF00704	PREDICTED: chitinase-3-like protein 1 [Hydra vulgaris]	0	0	3.67355516	0.879	0.044
i_zymogen_gland_cell	t22154aep|TLL1_DANRE	PF01400;PF01549	PREDICTED: zinc metalloproteinase nas-4-like [Hydra vulgaris]	0	0	3.564951578	0.773	0.032
i_zymogen_gland_cell	t36925aep	NA	PREDICTED: uncharacterized protein LOC101237647 [Hydra vulgaris]	0	0	3.561524515	0.414	0.027
i_zymogen_gland_cell	t27702aep|CYT_BITAR	NA	PREDICTED: cystatin JZTX-75-like [Hydra vulgaris]	0	0	3.511607453	0.889	0.418
i_zymogen_gland_cell	t19273aep|SAP3_MACFA	PF02221	PREDICTED: ganglioside GM2 activator-like [Hydra vulgaris]	0	0	3.491703452	0.7	0.048
i_zymogen_gland_cell	t34424aep|TRY3_SALSA	PF00089;PF13365	PREDICTED: trypsin-3-like [Hydra vulgaris]	0	0	3.46510436	0.971	0.461
i_zymogen_gland_cell	t37156aep|CHIA_MOUSE	PF00704	PREDICTED: chitinase-3-like protein 1 [Hydra vulgaris]	0	0	3.460739502	0.858	0.029
i_zymogen_gland_cell	t22948aep|VP302_LYCMC	PF00219	PREDICTED: venom protein 302-like [Hydra vulgaris]	0	0	3.417718266	1	0.283
i_zymogen_gland_cell	t10570aep	NA	PREDICTED: uncharacterized protein LOC100208683 [Hydra vulgaris]	4.50E-267	1.50E-262	3.395831837	0.361	0.058
i_zymogen_gland_cell	t25615aep|CHI3_CANAL	PF00704;PF01607	PREDICTED: chitinase 3-like [Hydra vulgaris]	0	0	3.355146673	0.939	0.053
i_zymogen_gland_cell	t32852aep|NPC2_DROME	PF02221	PREDICTED: epididymal secretory protein E1-like [Hydra vulgaris]	0	0	3.31545388	0.847	0.069
i_zymogen_gland_cell	t20535aep|MEP1B_MOUSE	PF01400	PREDICTED: blastula protease 10-like [Hydra vulgaris]	0	0	3.295451673	0.379	0.022
i_zymogen_gland_cell	t20198aep|CTRB_BOVIN	PF00089;PF09342	PREDICTED: chymotrypsinogen B-like [Hydra vulgaris]	0	0	3.284756249	0.941	0.025
i_zymogen_gland_cell	t12613aep	NA	PREDICTED: uncharacterized protein LOC100203182 [Hydra vulgaris]	0	0	3.275912536	0.96	0.192
i_zymogen_gland_cell	t18857aep|PRY1_YEAST	PF00188	PREDICTED: protein PRY1-like [Hydra vulgaris]	0	0	3.255796278	0.843	0.08
i_zymogen_gland_cell	t18494aep|SPAN_STRPU	PF01400	PREDICTED: low choriolytic enzyme-like [Hydra vulgaris]	0	0	3.232682291	0.899	0.082
i_zymogen_gland_cell	t30301aep|BLC_VIBCH	PF08212	PREDICTED: apolipoprotein D-like [Hydra vulgaris]	0	0	3.225000538	0.98	0.272
i_zymogen_gland_cell	t4338aep|COMA_CONMA	NA	PREDICTED: uncharacterized protein LOC100202494 [Hydra vulgaris]	0	0	3.218594395	0.996	0.142
i_zymogen_gland_cell	t34733aep|MCPI_MELCP	PF07648;PF00050	kazal-type serine protease inihibitor 4 precursor [Hydra vulgaris] >gi|219881822|gb|ACL52155.1| kazal-type serine protease inihibitor 4 [Hydra vulgaris]	0	0	3.197378855	0.778	0.029
i_zymogen_gland_cell	t12079aep|CBPA2_RAT	PF00246;PF02244	PREDICTED: zinc carboxypeptidase-like [Hydra vulgaris]	0	0	3.135350651	0.948	0.087
i_zymogen_gland_cell	t15418aep|CHI2_TOBAC	PF00182	PREDICTED: endochitinase 4-like [Hydra vulgaris]	0	0	3.098661054	0.741	0.051
i_zymogen_gland_cell	t15836aep|CEL2A_RAT	PF00089	PREDICTED: transmembrane protease serine 9-like [Hydra vulgaris]	0	0	3.074514562	0.378	0.016
i_zymogen_gland_cell	t9535aep	PF03067	PREDICTED: uncharacterized protein LOC100198884 [Hydra vulgaris]	0	0	3.037106941	0.874	0.042
i_zymogen_gland_cell	t15260aep|COMA_CONMA	NA	PREDICTED: uncharacterized protein LOC100203948 [Hydra vulgaris]	0	0	3.019371506	0.705	0.024
i_zymogen_gland_cell	t15397aep	PF03067	PREDICTED: uncharacterized protein LOC100202451 [Hydra vulgaris]	0	0	2.969130637	0.802	0.03
i_zymogen_gland_cell	t6324aep	NA	PREDICTED: uncharacterized protein LOC101240719 [Hydra vulgaris]	0	0	2.949397894	0.999	0.068
i_zymogen_gland_cell	t29167aep	PF00088	PREDICTED: MAM and LDL-receptor class A domain-containing protein 1-like [Hydra vulgaris]	0	0	2.913932529	0.996	0.088
i_zymogen_gland_cell	t15635aep	PF01823	PREDICTED: uncharacterized protein LOC100205745 [Hydra vulgaris]	0	0	2.90462096	0.976	0.119
i_zymogen_gland_cell	t3297aep|MMP27_HUMAN	PF00413;PF01471	PREDICTED: matrix metalloproteinase-27-like [Hydra vulgaris]	0	0	2.892289836	0.865	0.017
i_zymogen_gland_cell	t22149aep|NAS4_CAEEL	PF01400	PREDICTED: astacin-like metalloprotease toxin 5 [Hydra vulgaris]	0	0	2.654432268	0.63	0.05
i_zymogen_gland_cell	t3565aep|CBPB1_PIG	PF00246	PREDICTED: carboxypeptidase B-like [Hydra vulgaris]	0	0	2.642478019	0.981	0.031
i_zymogen_gland_cell	t1098aep|NAS15_CAEEL	PF01400;PF01549	zinc metalloproteinase nas-15-like precursor [Hydra vulgaris] >gi|5579501|gb|AAA92361.2| metalloproteinase 1 [Hydra vulgaris]	0	0	2.620700913	0.746	0.056
i_zymogen_gland_cell	t21914aep|MCPI_MELCP	PF00050;PF07648	kazal-type serine protease inihibitor 2 precursor [Hydra vulgaris] >gi|219881818|gb|ACL52153.1| kazal-type serine protease inihibitor 2 [Hydra vulgaris]	0	0	2.61803794	0.905	0.398
i_zymogen_gland_cell	t17625aep|ACTPC_ACTTE	PF06369	PREDICTED: bandaporin-like [Hydra vulgaris]	0	0	2.60534263	0.957	0.029
i_zymogen_gland_cell	t20262aep|MRC2_HUMAN	PF00059;PF05473	type II transmembrane C-type lectin precursor [Hydra vulgaris] >gi|38373928|gb|AAR19205.1| type II transmembrane C-type lectin [Hydra vulgaris]	0	0	2.586689311	0.999	0.081
i_zymogen_gland_cell	t4512aep	NA	PREDICTED: uncharacterized protein LOC105845774 [Hydra vulgaris]	0	0	2.51473649	0.883	0.183
i_zymogen_gland_cell	t413aep	NA	NA	0	0	2.485872308	0.782	0.12
i_zymogen_gland_cell	t32151aep|HE_PARLI	PF00413;PF01471;PF01549	PREDICTED: matrilysin-like [Hydra vulgaris]	0	0	2.484808996	0.774	0.028
i_zymogen_gland_cell	t16296aep|NAS4_CAEEL	PF01400;PF01549	PREDICTED: zinc metalloproteinase nas-4-like [Hydra vulgaris]	0	0	2.471440375	0.963	0.336
i_zymogen_gland_cell	t19187aep	NA	PREDICTED: U9-ctenitoxin-Pr1a-like [Hydra vulgaris]	0	0	2.464087656	0.966	0.024
i_zymogen_gland_cell	t10258aep|NAS15_CAEEL	PF01400;PF01549	PREDICTED: low choriolytic enzyme-like [Hydra vulgaris]	0	0	2.452553939	0.762	0.029
i_zymogen_gland_cell	t10190aep	PF01414	PREDICTED: uncharacterized protein LOC101236964 [Hydra vulgaris]	0	0	2.426974213	0.92	0.024
i_zymogen_gland_cell	t24291aep|HEXC_BOMMO	PF00728;PF14845	PREDICTED: chitooligosaccharidolytic beta-N-acetylglucosaminidase-like isoform X2 [Hydra vulgaris]	0	0	2.304669016	0.92	0.054
i_zymogen_gland_cell	t13303aep|NADA_APLKU	PF02267	PREDICTED: ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase-like [Hydra vulgaris]	0	0	2.297773965	0.623	0.042
i_zymogen_gland_cell	t14794aep	PF01414	PREDICTED: uncharacterized protein LOC101235030 [Hydra vulgaris]	0	0	2.248041781	0.937	0.025
i_zymogen_gland_cell	t27994aep|CHIA_RAT	PF00704	PREDICTED: chitinase-3-like protein 1 [Hydra vulgaris]	0	0	2.193620765	0.72	0.006
i_zymogen_gland_cell	t34423aep	NA	PREDICTED: trypsin-3-like [Hydra vulgaris]	0	0	2.189820525	0.678	0.068
i_zymogen_gland_cell	t3451aep|NAS15_CAEEL	PF01400;PF01549	PREDICTED: low choriolytic enzyme-like [Hydra vulgaris]	0	0	2.145617284	0.71	0.018
i_zymogen_gland_cell	t15831aep|LIPP_HORSE	PF00151;PF01477	PREDICTED: pancreatic lipase-related protein 2-like [Hydra vulgaris]	0	0	2.141051348	0.921	0.075
i_zymogen_gland_cell	t22769aep|PLCX1_ARTBC	NA	PREDICTED: uncharacterized protein LOC100201425 [Hydra vulgaris]	0	0	2.053778007	0.899	0.014
i_zymogen_gland_cell	t22626aep|MEP1B_MOUSE	PF01400;PF00629;PF01549	meprin A subunit beta-like precursor [Hydra vulgaris] >gi|4929103|gb|AAD33860.1|AF140020_1 metalloproteinase 2 [Hydra vulgaris]	2.88E-273	9.60E-269	2.008334898	0.36	0.056
i_zymogen_gland_cell	t11722aep|MMP27_TUPBE	PF00413;PF01471	PREDICTED: 72 kDa type IV collagenase-like [Hydra vulgaris]	0	0	1.958611292	0.282	0.006
i_zymogen_gland_cell	t3416aep|BP10_PARLI	PF01400;PF01549	PREDICTED: zinc metalloproteinase nas-15-like [Hydra vulgaris]	0	0	1.931660831	0.697	0.034
i_zymogen_gland_cell	t14211aep|NAS4_CAEEL	PF01400;PF01549	PREDICTED: zinc metalloproteinase nas-4-like [Hydra vulgaris]	0	0	1.92363015	0.635	0.016
i_zymogen_gland_cell	t27176aep	NA	PREDICTED: uncharacterized protein LOC105849057 [Hydra vulgaris]	0	0	1.887180642	0.729	0.022
i_zymogen_gland_cell	t8536aep|ECT_ACRMI	PF00188	PREDICTED: uncharacterized protein LOC100215247 [Hydra vulgaris]	0	0	1.881699584	0.932	0.144
i_zymogen_gland_cell	t38581aep|HE_HEMPU	PF00413;PF01471;PF01549	PREDICTED: 50 kDa hatching enzyme-like [Hydra vulgaris]	0	0	1.775761364	0.576	0.041
i_zymogen_gland_cell	t30318aep|CTR2_CANLF	PF00089	PREDICTED: transmembrane protease serine 9-like [Hydra vulgaris]	0	0	1.727614117	0.314	0.004
i_zymogen_gland_cell	t31840aep	NA	PREDICTED: uncharacterized protein LOC100211562 [Hydra vulgaris]	0	0	1.723427099	0.886	0.027
i_zymogen_gland_cell	t14785aep|ANTA_HYDVU	PF02822	PREDICTED: antistasin [Hydra vulgaris]	0	0	1.665408035	0.793	0.192
i_zymogen_gland_cell	t20275aep|CBPA2_RAT	PF00246;PF02244	PREDICTED: zinc carboxypeptidase-like [Hydra vulgaris]	4.06E-118	1.36E-113	1.58252175	0.263	0.063
i_zymogen_gland_cell	t12082aep|SVEP1_MOUSE	PF00084;PF00008;PF07699;PF00431;PF00092;PF02494;PF12661;PF00354;PF07645;PF12662;PF13385;PF14670;PF13519	"PREDICTED: sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 [Hydra vulgaris]"	0	0	1.580620743	0.759	0.012
i_zymogen_gland_cell	t19410aep|CBPA4_HUMAN	PF00246;PF02244	PREDICTED: carboxypeptidase B-like [Hydra vulgaris]	0	0	1.57420707	0.828	0.014
i_zymogen_gland_cell	t30342aep	NA	predicted protein [Nematostella vectensis] >gi|156213728|gb|EDO34737.1| predicted protein [Nematostella vectensis]	0	0	1.568695561	0.918	0.251
i_zymogen_gland_cell	t34866aep	NA	NA	0	0	1.54289089	0.946	0.074
i_zymogen_gland_cell	t8495aep	PF01823	PREDICTED: uncharacterized protein LOC100215110 [Hydra vulgaris]	0	0	1.504390511	0.599	0.005
i_zymogen_gland_cell	t11980aep|PAO_MAIZE	PF01593;PF13450	PREDICTED: polyamine oxidase 1-like [Hydra vulgaris]	0	0	1.501210784	0.729	0.018
i_zymogen_gland_cell	t17575aep|ENDUB_DANRE	PF09412	PREDICTED: poly(U)-specific endoribonuclease-B-like [Hydra vulgaris]	0	0	1.498807942	0.907	0.186
i_zymogen_gland_cell	t12562aep|ASCL4_HUMAN	PF00010	achaete-scute-like protein [Hydra vulgaris]	0	0	1.48567718	0.879	0.035
i_zymogen_gland_cell	t2163aep|COMA_CONMA	PF09056	PREDICTED: uncharacterized protein LOC100205674 [Hydra vulgaris]	0	0	1.469154816	0.948	0.095
i_zymogen_gland_cell	t27750aep	NA	NA	0	0	1.429742505	0.579	0.025
i_zymogen_gland_cell	t26499aep	NA	PREDICTED: trypsin-3-like [Hydra vulgaris]	0	0	1.399410276	0.355	0.004
i_zymogen_gland_cell	t3610aep|CEL3B_MOUSE	PF00089;PF13365	PREDICTED: LOW QUALITY PROTEIN: chymotrypsin-like elastase family member 3B [Hydra vulgaris]	0	0	1.395835393	0.793	0.025
i_zymogen_gland_cell	t17832aep|LIPR2_MYOCO	PF00151;PF01477	PREDICTED: pancreatic lipase-related protein 2-like [Hydra vulgaris]	0	0	1.386695628	0.363	0.022
i_zymogen_gland_cell	t7698aep|MFNA_METPE	PF00282	PREDICTED: uncharacterized protein LOC100197171 [Hydra vulgaris]	0	0	1.357523166	0.502	0.057
i_zymogen_gland_cell	t15518aep|FBLN2_MOUSE	PF07645;PF12662;PF14670;PF12947;PF07699;PF00084;PF13927;PF00047;PF02494	"PREDICTED: sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like [Hydra vulgaris]"	0	0	1.348192657	0.798	0.047
i_zymogen_gland_cell	t3720aep|NAS4_CAEEL	PF01400	PREDICTED: zinc metalloproteinase nas-4-like [Hydra vulgaris]	0	0	1.336788194	0.792	0.016
i_zymogen_gland_cell	t3296aep	NA	PREDICTED: uncharacterized protein LOC100202932 [Hydra vulgaris]	0	0	1.283407754	0.894	0.062
i_zymogen_gland_cell	t15549aep|AMID_ECOLI	PF01510	PREDICTED: uncharacterized protein LOC101236346 [Hydra vulgaris]	0	0	1.259522145	0.894	0.118
i_zymogen_gland_cell	t31844aep|TLL1_DANRE	PF01400	PREDICTED: blastula protease 10-like [Hydra vulgaris]	0	0	1.235311235	0.609	0.002
i_zymogen_gland_cell	t29450aep	NA	PREDICTED: multiple epidermal growth factor-like domains protein 11 [Hydra vulgaris]	0	0	1.217078066	0.888	0.068
i_zymogen_gland_cell	t21913aep|MCPI_MELCP	PF00050;PF07648	kazal-type serine protease inihibitor 3 precursor [Hydra vulgaris] >gi|219881820|gb|ACL52154.1| kazal-type serine protease inihibitor 3 [Hydra vulgaris]	2.46E-50	8.21E-46	1.127646618	0.471	0.242
i_zymogen_gland_cell	t19677aep|MEP1B_HUMAN	PF01400;PF01549;PF00642	PREDICTED: zinc metalloproteinase nas-13-like [Hydra vulgaris]	0	0	1.124162856	0.714	0.014
i_zymogen_gland_cell	t14795aep	PF01414	PREDICTED: uncharacterized protein LOC100210911 [Hydra vulgaris]	0	0	1.087380757	0.58	0.008
i_zymogen_gland_cell	t20404aep	NA	PREDICTED: uncharacterized protein LOC100207136 [Hydra vulgaris]	0	0	1.083421456	0.775	0.04
i_zymogen_gland_cell	t38024aep	NA	NA	0	0	1.072603989	0.522	0.025
i_zymogen_gland_cell	t19968aep|CALUA_SALSA	PF13499;PF00036;PF13833;PF13405;PF13202;PF10591	PREDICTED: calumenin-A-like [Hydra vulgaris]	0	0	1.062836111	0.718	0.017
i_zymogen_gland_cell	t1aep|NAS4_CAEEL	PF01400	PREDICTED: zinc metalloproteinase nas-6-like isoform X1 [Hydra vulgaris]	0	0	1.042264263	0.656	0.015
i_zymogen_gland_cell	t23091aep	NA	PREDICTED: BMP-binding endothelial regulator protein-like [Hydra vulgaris]	0	0	1.038333079	0.904	0.071
i_zymogen_gland_cell	t7388aep|PRSS8_RAT	PF00089	PREDICTED: serine protease 27-like [Hydra vulgaris]	0	0	1.030795124	0.799	0.055
i_zymogen_gland_cell	t10353aep	NA	PREDICTED: protein PFC0760c-like [Hydra vulgaris]	0	0	1.02920008	0.713	0.052
i_zymogen_gland_cell	t20562aep	NA	PREDICTED: uncharacterized protein LOC105843174 [Hydra vulgaris]	0	0	1.024773112	0.497	0.023
i_zymogen_gland_cell	t3559aep	NA	PREDICTED: uncharacterized protein LOC100202017 [Hydra vulgaris]	0	0	0.999403236	0.84	0.191
i_zymogen_gland_cell	t34438aep	NA	NA	0	0	0.982152752	0.655	0.005
i_zymogen_gland_cell	t11467aep|PAX6_XENLA	PF00292	PREDICTED: uncharacterized protein LOC100203334 isoform X1 [Hydra vulgaris]	0	0	0.970834663	0.54	0.007
i_zymogen_gland_cell	t14309aep|CALUB_SALSA	PF00036;PF13405;PF13499;PF13202;PF13833	PREDICTED: calumenin-B-like [Hydra vulgaris]	0	0	0.967125637	0.692	0.02
i_zymogen_gland_cell	t31554aep|CYT_NOTSC	PF00031	PREDICTED: cystatin JZTX-75-like [Hydra vulgaris]	5.94E-142	1.98E-137	0.964996424	0.962	0.609
i_zymogen_gland_cell	t578aep	NA	PREDICTED: uncharacterized protein LOC105844599 [Hydra vulgaris]	2.51E-225	8.40E-221	0.945737072	0.995	0.567
i_zymogen_gland_cell	t24882aep	NA	NA	0	0	0.93811909	0.631	0.011
i_zymogen_gland_cell	t22775aep	NA	PREDICTED: uncharacterized protein LOC105843803 [Hydra vulgaris]	5.09E-130	1.70E-125	0.932134486	0.266	0.054
i_zymogen_gland_cell	t26665aep	NA	NA	0	0	0.897525876	0.621	0.003
i_zymogen_gland_cell	t397aep	NA	PREDICTED: uncharacterized protein LOC100210365 [Hydra vulgaris]	0	0	0.886017016	0.714	0.059
i_zymogen_gland_cell	t15157aep|SVEP1_HUMAN	PF00084;PF00008;PF07699;PF00354;PF00431;PF00092;PF12661;PF00754;PF13385;PF02494;PF13519;PF07645;PF14670	"PREDICTED: sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like [Hydra vulgaris]"	0	0	0.845469161	0.602	0.04
i_zymogen_gland_cell	t29300aep|PDI22_ORYSJ	PF00085;PF07749	PREDICTED: protein disulfide isomerase-like 2-2 isoform X1 [Hydra vulgaris]	0	0	0.806515067	0.613	0.005
i_zymogen_gland_cell	t22254aep|VEGFA_BITGA	PF00341	PREDICTED: platelet-derived growth factor subunit B-like [Hydra vulgaris]	0	0	0.789261351	0.693	0.193
i_zymogen_gland_cell	t3754aep|YTCB_BACSU	PF01370;PF16363	PREDICTED: uncharacterized protein LOC105847697 [Hydra vulgaris]	0	0	0.751523986	0.561	0.011
i_zymogen_gland_cell	t28304aep|HMCN1_HUMAN	PF00090;PF02494;PF07699;PF14670;PF07679;PF13927;PF00754;PF00652;PF07645;PF00047;PF12662;PF00084;PF12947	"PREDICTED: uncharacterized protein LOC100201520, partial [Hydra vulgaris]"	0	0	0.749041181	0.533	0.027
i_zymogen_gland_cell	t23544aep|PRY1_YEAST	PF00188	PREDICTED: protein PRY1-like [Hydra vulgaris]	0	0	0.722953021	0.778	0.102
i_zymogen_gland_cell	t15631aep	NA	hypothetical protein [Flavobacterium sasangense]	0	0	0.704802793	0.685	0.031
i_zymogen_gland_cell	t31055aep	NA	NA	0	0	0.704738462	0.521	0.002
i_zymogen_gland_cell	t30993aep|SC5A8_HUMAN	PF00474	PREDICTED: sodium-coupled monocarboxylate transporter 1-like [Hydra vulgaris]	0	0	0.703876049	0.632	0.14
i_zymogen_gland_cell	t12891aep|NEC1_RAT	PF00082;PF01483;PF16470	PREDICTED: neuroendocrine convertase 1-like [Hydra vulgaris]	0	0	0.697945957	0.645	0.128
i_zymogen_gland_cell	t18810aep|NAS4_CAEEL	PF01400;PF01549;PF00642	PREDICTED: zinc metalloproteinase nas-13-like [Hydra vulgaris]	0	0	0.68522053	0.46	0.039
i_zymogen_gland_cell	t10197aep|COCA1_CHICK	PF00092;PF00090;PF13519	PREDICTED: coadhesin-like [Hydra vulgaris]	0	0	0.631640696	0.587	0.031
i_zymogen_gland_cell	t34312aep	NA	PREDICTED: uncharacterized protein LOC105845183 [Hydra vulgaris]	1.02E-220	3.40E-216	0.618857733	0.658	0.201
i_zymogen_gland_cell	t28689aep|FUCO_BRAFL	PF01120;PF16757	"PREDICTED: LOW QUALITY PROTEIN: alpha-L-fucosidase-like, partial [Hydra vulgaris]"	0	0	0.615749652	0.519	0.019
i_zymogen_gland_cell	t4923aep	NA	NA	2.27E-145	7.57E-141	0.602993681	0.754	0.346
i_zymogen_gland_cell	t9701aep|CPP1_ACRMI	PF00089;PF01549;PF13365;PF09342	PREDICTED: trypsin-3-like isoform X1 [Hydra vulgaris]	4.92E-46	1.64E-41	0.595169891	0.428	0.251
i_zymogen_gland_cell	t16369aep|ECI2_MOUSE	PF00378;PF00887;PF16113	"PREDICTED: enoyl-CoA delta isomerase 2, mitochondrial-like [Hydra vulgaris]"	3.81E-59	1.27E-54	0.573766159	0.511	0.308
i_zymogen_gland_cell	t14796aep	PF01414	PREDICTED: uncharacterized protein LOC100210911 [Hydra vulgaris]	0	0	0.563418438	0.438	0.005
i_zymogen_gland_cell	t10714aep|KSR2_MOUSE	PF07714;PF00069	PREDICTED: kinase suppressor of Ras 2-like [Hydra vulgaris]	0	0	0.544304603	0.682	0.106
i_zymogen_gland_cell	t1916aep	NA	PREDICTED: uncharacterized protein LOC100197948 isoform X1 [Hydra vulgaris]	5.65E-216	1.89E-211	0.535352078	0.556	0.147
i_zymogen_gland_cell	t24398aep|CTRC_BOVIN	PF00089;PF01549	PREDICTED: chymotrypsinogen B-like isoform X1 [Hydra vulgaris] >gi|828225286|ref|XP_012563276.1| PREDICTED: chymotrypsinogen B-like isoform X2 [Hydra vulgaris]	9.44E-287	3.15E-282	0.535319465	0.33	0.04
i_zymogen_gland_cell	t4150aep	PF01477	PREDICTED: uncharacterized protein LOC100208756 [Hydra vulgaris]	0	0	0.515748602	0.448	0.012
i_zymogen_gland_cell	t35677aep|PGDH_HUMAN	PF00106;PF13561	PREDICTED: 15-hydroxyprostaglandin dehydrogenase [NAD(+)]-like [Hydra vulgaris]	4.22E-198	1.41E-193	0.503627591	0.674	0.212
i_zymogen_gland_cell	t21950aep|BUP1_HUMAN	PF00795	PREDICTED: beta-ureidopropionase-like [Hydra vulgaris]	2.54E-256	8.49E-252	0.503610045	0.499	0.107
i_zymogen_gland_cell	t1653aep	NA	PREDICTED: uncharacterized protein LOC100213149 [Hydra vulgaris]	0	0	0.497563952	0.393	0.007
i_zymogen_gland_cell	t13118aep	PF00093	PREDICTED: BMP-binding endothelial regulator protein-like [Hydra vulgaris]	1.97E-272	6.59E-268	0.487808212	0.337	0.045
i_zymogen_gland_cell	t9507aep|T23O_AEDAE	PF03301	"PREDICTED: tryptophan 2,3-dioxygenase [Anoplophora glabripennis]"	0	0	0.481112434	0.552	0.064
i_zymogen_gland_cell	t19270aep	NA	NA	0	0	0.472859478	0.525	0.042
i_zymogen_gland_cell	t32513aep|MRC2_HUMAN	PF00059;PF05473	PREDICTED: macrophage mannose receptor 1-like [Hydra vulgaris]	0	0	0.463430826	0.443	0.012
i_zymogen_gland_cell	t27148aep|ADRB2_TSCTR	PF00001;PF10320	PREDICTED: dopamine D2-like receptor [Hydra vulgaris]	1.62E-294	5.42E-290	0.461299139	0.492	0.091
i_zymogen_gland_cell	t21942aep|CXCR4_CERAT	PF00001	PREDICTED: C-X-C chemokine receptor type 2-like [Hydra vulgaris]	2.11E-289	7.03E-285	0.456775935	0.466	0.084
i_zymogen_gland_cell	t20083aep	NA	PREDICTED: uncharacterized protein LOC105844032 [Hydra vulgaris]	8.60E-232	2.87E-227	0.44904635	0.453	0.096
i_zymogen_gland_cell	t19154aep	PF04145	NA	7.88E-196	2.63E-191	0.443565643	0.501	0.13
i_zymogen_gland_cell	t23810aep|NUCB2_RAT	PF13499;PF00036;PF13405	PREDICTED: nucleobindin-2-like isoform X1 [Hydra vulgaris]	7.51E-107	2.51E-102	0.443377573	0.912	0.695
i_zymogen_gland_cell	t23079aep|AJL2_ANGJA	PF00059	PREDICTED: macrophage mannose receptor 1-like [Hydra vulgaris]	0	0	0.441512	0.318	0.004
i_zymogen_gland_cell	t11073aep|RAB24_HUMAN	PF00071;PF08477;PF00025	PREDICTED: ras-related protein Rab-24-like isoform X1 [Hydra vulgaris]	4.52E-242	1.51E-237	0.435337346	0.413	0.078
i_zymogen_gland_cell	t16202aep|AMDB_XENLA	PF03712;PF01436;PF01082	"PREDICTED: peptidyl-glycine alpha-amidating monooxygenase-like, partial [Hydra vulgaris]"	1.06E-136	3.54E-132	0.410989372	0.623	0.264
